"Name","Libell_long__c","Adresse__c","Ville__c","Mail__c","Telephone__c","Date_fin__c"
"15746","CENTRE D'INFORMATION ET DE RECRUTEMENT LILLE","CASERNE ADJUDANT SENEPART$201 BOULEVARD DE MONS BP187$59650 VILLENEUVE D ASCQ","LILLE CEDEX","cir.lille@gendarmerie.interieur.gouv.fr","+33 3 20 16 96 79","3999-04-12T10:09:06Z"
"15811","CENTRE D'INFORMATION ET DE RECRUTEMENT AMIENS","1 RUE CAUMARTIN$80000 AMIENS","AMIENS","cir.amiens@gendarmerie.interieur.gouv.fr","+33 3 22 72 12 22","3999-04-12T10:09:06Z"
"15977","CENTRE D'INFORMATION ET DE RECRUTEMENT BORDEAUX","18 PLACE PEY BERLAND$33000 BORDEAUX","BORDEAUX","cir.bordeaux@gendarmerie.interieur.gouv.fr","+33 5 56 52 23 10","3999-04-12T10:09:06Z"
"16042","CENTRE D'INFORMATION ET DE RECRUTEMENT TOULOUSE","CASERNE COURREGE$202 AVENUE JEAN RIEUX BP 14019$31055 TOULOUSE CEDEX 4","TOULOUSE CEDEX 4","cir.toulouse@gendarmerie.interieur.gouv.fr","+33 5 61 17 48 49","3999-04-12T10:09:06Z"
"16089","CENTRE D'INFORMATION ET DE RECRUTEMENT POITIERS","35 RUE DU MARCHE NOTRE DAME$86000 POITIERS","POITIERS","cir.poitiers@gendarmerie.interieur.gouv.fr","+33 5 49 61 66 66","3999-04-12T10:09:06Z"
"16136","CENTRE D'INFORMATION ET DE RECRUTEMENT LIMOGES","2 BOULEVARD CARNOT$87000 LIMOGES","LIMOGES","cir.limoges@gendarmerie.interieur.gouv.fr","+33 5 55 10 70 70","3999-04-12T10:09:06Z"
"16185","CENTRE D'INFORMATION ET DE RECRUTEMENT RENNES","CASERNE MARGUERITTE$85 BOULEVARD CLEMENCEAU BP 33284$35032 RENNES CEDEX","RENNES CEDEX","cir.rennes@gendarmerie.interieur.gouv.fr","+33 2 99 32 52 90","3999-04-12T10:09:06Z"
"16247","CENTRE D'INFORMATION ET DE RECRUTEMENT ROUEN","10 RUE DE CROSNE$76000 ROUEN","ROUEN","cir.rouen@gendarmerie.interieur.gouv.fr","+33 2 32 08 13 30","3999-04-12T10:09:06Z"
"16293","CENTRE D'INFORMATION ET DE RECRUTEMENT CAEN","CASERNE LE FLEM$29 AVENUE DU 43E REGIMENT D ARTILLERIE BP 11110$14020 CAEN CEDEX 3","CAEN CEDEX 3","cir.caen@gendarmerie.interieur.gouv.fr","+33 2 31 15 62 10","3999-04-12T10:09:06Z"
"16341","CENTRE D'INFORMATION ET DE RECRUTEMENT NANTES","CASERNE LAMORICIERE$4 RUE D ALLONVILLE$44000 NANTES","NANTES","cir.nantes@gendarmerie.interieur.gouv.fr","+33 2 40 20 24 24","3999-04-12T10:09:06Z"
