"Name","Libelle_long__c","Adresse__c","Sel_Ref_Villes__r.Name","Email__c","Telephone__c","Libelle_Unit__c","Date_de_debut__c","Date_de_fin__c"
"14110","Saint-Pierre-et-Miquelon","Commandement de la gendarmerie de Saint-Pierre-et-Miquelon$Bureau des ressources humaines$2 place du lieutenant colonel Pigeaud$BP 4204 MIQUELON LANGLADE$97500 ST PIERRE ET MIQUELON","92002","comgendpm@gendarmerie.interieur.gouv.fr","+508 41 02 62","Etat-major COMGENDPM","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"27089","Nord-Pas-de-Calais","Centre de sélection et de concours$Caserne gendarme Damien$283, boulevard Harpignies$BP 449$59300 VALENCIENNES CEDEX","92002","brfrr.rgnpc@gendarmerie.interieur.gouv.fr","0","Centre de sélection et de concours BRFRR RGNPC","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"27090","Bretagne","Centre de sélection et de concours$Caserne Margueritte$85 BOULEVARD CLEMENCEAU$BP 3284$35032 RENNES CEDEX","92002","brfrr.rgbret@gendarmerie.interieur.gouv.fr","0","Centre de sélection et de concours BRFRR RGBRET","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"27092","Ile-de-France","Centre de sélection et de concours$Quartier Mohier$4 Avenue Busteau$94706 MAISONS ALFORT CEDEX","92002","brfrr.rgif@gendarmerie.interieur.gouv.fr","0","Centre de sélection et de concours BRFRR RGIF","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"27093","Provence-Alpes-Côte-d'Azur","Centre de sélection et de concours$Caserne de gendarmerie de Beauvau$171, avenue de Toulon$13387 MARSEILLE CEDEX 10","92002","brfrr.rgpaca@gendarmerie.interieur.gouv.fr","0","Centre de sélection et de concours BRFRR RGPACA","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"27094","Lorraine","Centre de sélection et de concours$2 rue Albert Bettanier$BP 61081$57038 METZ CEDEX","92002","brfrr.rglor@gendarmerie.interieur.gouv.fr","0","Centre de sélection et de concours BRFRR RGLOR","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"27095","Rhône-Alpes","Centre de sélection et de concours$Région de gendarmerie de Rhône-Alpes$36 boulevard de l'Ouest$69580 SATHONAY CAMP","92002","csc.brfrr.rgra@gendarmerie.interieur.gouv.fr","0","Centre de sélection et de concours BRFRR RGRA","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"29427","PAPEETE","Commandant de la gendarmerie pour la Polynésie Française$Centre de recrutement, de concours et de sélection$BP 89$98713 PAPEETE","92002","crcs.bp.comgendpf@gendarmerie.interieur.gouv.fr","+689 40 46 74 36","Centre recrutement concours sélection BRH COMGENDPF","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"30215","FORT-DE-FRANCE","Commandement de la gendarmerie de la Martinique$Bureau des ressources humaines$Centre de recrutement, de concours et de sélection$Caserne de gendarmerie de Redoute$BP 616$97261 FORT DE FRANCE CEDEX","92002","crcs.bp.comgendmq@gendarmerie.interieur.gouv.fr","NULL","Centre recrutement concours sélection BRH COMGENDMQ","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"30227","NOUMEA","Commandement de la gendarmerie pour la Nouvelle-Calédonie$Caserne Meunier$Centre de recrutement, de concours et de séléction$16 rue Frédéric Surleau$BP R3$98851 NOUMEA Cedex","92002","crcs.bp.comgendncwf@gendarmerie.interieur.gouv.fr","NULL","Centre recrutement concours séléction BRH COMGENDNC","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"30240","CAYENNE","Commandement de la gendarmerie de Guyane$Bureau des ressources humaines$Centre de recrutement, de concours et de sélection$Caserne La Madeleine$1296, route de la Madeleine$BP 6005$97306 Cayenne cedex","92002","crcs.bp.comgendgf@gendarmerie.interieur.gouv.fr","+594 29 28 10","Centre recrutement concours sélection BRH COMGENDGF","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"30252","ST-CLAUDE","Commandement de la gendarmerie de Guadeloupe$Etat-major - Bureau des ressources humaines$Centre de recrutement, de concours et de sélection$Caserne Morne-Houël$97120 SAINT-CLAUDE","92002","crcs.bp.comgendgp@gendarmerie.interieur.gouv.fr","+590 80 98 57","Centre recrutement concours sélection BRH COMGENDGP","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"30282","ST-DENIS","Commandement de la gendarmerie de la Réunion$Bureau des ressources humaines$Centre de recrutement, de concours et de sélection$61 rue Victor Mac Auliffe$97405 SAINT-DENIS CEDEX","92002","crcs.bp.comgendre@gendarmerie.interieur.gouv.fr","+262 93 75 38","Centre recrutement concours sélection BRH COMGENDRE","2010-01-01T00:00:00Z","3999-12-31T00:00:00Z"
"32552","Aquitaine","Centre de sélection et de concours$Caserne Béteille$33270 BOULIAC ","92002","email@manquant.fr","null","Centre de sélection et de concours BRFRR RGAQ","2012-02-12T00:00:00Z","3999-12-31T00:00:00Z"
"32676","Mayotte","CENTRE DE RECRUTEMENT, $DES CONCOURS ET DES SELECTIONS $20 Route Nationale 4$97615 PAMANDZI","92002","crcs.bp.comgendyt@gendarmerie.interieur.gouv.fr","+262 2 69 60 91 37","0","2015-08-01T00:00:00Z","3999-12-31T00:00:00Z"
