"Code_departement__c","Sel_Ref_Departement__r.Name","Code_postal__c","Date_de_debut__c","Date_de_fin__c","Libelle_long__c","Name"
"92","Hauts-de-Seine","92000","2024-03-18T13:29:31.000+0000","2035-03-01T13:29:31.000+0000","NANTERRE","92050"
"92","Hauts-de-Seine","92100","2024-03-18T13:29:31.000+0000","2035-03-01T13:29:31.000+0000","BOULOGNE BILLANCOURT","92012"
"92","Hauts-de-Seine","92110","2024-03-18T13:29:31.000+0000","2035-03-01T13:29:31.000+0000","CLICHY","92024"
"92","Hauts-de-Seine","92120","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MONTROUGE","92049"
"92","Hauts-de-Seine","92130","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ISSY LES MOULINEAUX","92040"
"92","Hauts-de-Seine","92140","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","CLAMART","92023"
"92","Hauts-de-Seine","92150","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","SURESNES","92073"
"92","Hauts-de-Seine","92160","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ANTONY","92002"
"92","Hauts-de-Seine","92170","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VANVES","92075"
"92","Hauts-de-Seine","92190","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MEUDON","92048"
"92","Hauts-de-Seine","92200","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","NEUILLY SUR SEINE","92051"
"92","Hauts-de-Seine","92210","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ST CLOUD","92064"
"92","Hauts-de-Seine","92220","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","BAGNEUX","92007"
"92","Hauts-de-Seine","92230","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","GENNEVILLIERS","92036"
"92","Hauts-de-Seine","92240","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MALAKOFF","92046"
"92","Hauts-de-Seine","92250","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LA GARENNE COLOMBES","92035"
"92","Hauts-de-Seine","92260","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","FONTENAY AUX ROSES","92032"
"92","Hauts-de-Seine","92270","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","BOIS COLOMBES","92009"
"92","Hauts-de-Seine","92290","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","CHATENAY MALABRY","92019"
"92","Hauts-de-Seine","92300","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LEVALLOIS PERRET","92044"
"92","Hauts-de-Seine","92310","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","SEVRES","92072"
"92","Hauts-de-Seine","92320","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","CHATILLON","92020"
"92","Hauts-de-Seine","92330","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","SCEAUX","92071"
"92","Hauts-de-Seine","92340","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","BOURG LA REINE","92014"
"92","Hauts-de-Seine","92350","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","LE PLESSIS ROBINSON","92060"
"92","Hauts-de-Seine","92360","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MEUDON","92048"
"92","Hauts-de-Seine","92370","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","CHAVILLE","92022"
"92","Hauts-de-Seine","92380","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","GARCHES","92033"
"92","Hauts-de-Seine","92390","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VILLENEUVE LA GARENNE","92078"
"92","Hauts-de-Seine","92400","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","COURBEVOIE","92026"
"92","Hauts-de-Seine","92410","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VILLE D AVRAY","92077"
"92","Hauts-de-Seine","92420","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","VAUCRESSON","92076"
"92","Hauts-de-Seine","92430","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","MARNES LA COQUETTE","92047"
"92","Hauts-de-Seine","92500","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","RUEIL MALMAISON","92063"
"92","Hauts-de-Seine","92600","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","ASNIERES SUR SEINE","92004"
"92","Hauts-de-Seine","92700","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","COLOMBES","92025"
"92","Hauts-de-Seine","92800","2024-03-18T13:29:32.000+0000","2035-03-01T13:29:32.000+0000","PUTEAUX","92062"
