"Name","Libelle_long__c","Libelle_Unit__c","Sel_Ref_Villes__r.Name","Adresse__c","Email__c","Telephone__c","Date_de_debut__c","Date_de_fin__c"
"27091","Centre de Sélection et de Concours Sud-Ouest","Centre de Sélection et de Concours Sud-Ouest","92002","Quartier Béteille","csc.brfrr.rgaq@gendarmerie.interieur.gouv.fr","0557978360","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"27090","Centre de sélection et de Concours Ouest","Centre de sélection et de Concours Ouest","92002","Caserne Margueritte, 85 boulevard Clemenceau, BP 33284","csc.brfrr.rgbret@gendarmerie.interieur.gouv.fr","0299327559","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"27092","Centre de sélection et de Concours Ile de France","Centre de sélection et de Concours Ile de France","92002","Quartier Mohier, 4 Avenue Busteau","csc.brfrr.rgif@gendarmerie.interieur.gouv.fr","0157441122","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"27094","Centre de sélection et de Concours Est","Centre de sélection et de Concours Est","92002","2 rue Albert Bettannier, BP 61081","csc.brfrr.rglor@gendarmerie.interieur.gouv.fr","387562181","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"27089","Centre de sélection et de Concours Nord","Centre de sélection et de Concours Nord","92002","Caserne Gendarme Damien, 283 boulevard Henri Harpignies, BP 449","csc.brfrr.rgnpc@gendarmerie.interieur.gouv.fr","0327519590","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"27093","Centre de Sélection et de Concours Sud-Ouest","Centre de Sélection et de Concours Sud-Ouest","92002","Caserne Beauvau, 171 Avenue de Toulon","csc.brfrr.rgpaca@gendarmerie.interieur.gouv.fr","491163959","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"27095","Centre de sélection et de Concours Sud-Est","Centre de sélection et de Concours Sud-Est","92002","36 Boulevard de l'Ouest","csc.brfrr.rgra@gendarmerie.interieur.gouv.fr","0437852257","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"30240","Centre de Recrutement de Concours et de Sélection de Guyane","Centre de Recrutement de Concours et de Sélection de Guyane","92002","Caserne La Madeleine, 1296 route de La Madeleine, BP 6005","crcs.brh.comgendgf@gendarmerie.interieur.gouv.fr","0594292810","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"30252","Centre de Recrutement de Concours et de Sélection de Guadeloupe","Centre de Recrutement de Concours et de Sélection de Guadeloupe","92002","Caserne Morne Houel","crcs.brh.comgendgp@gendarmerie.interieur.gouv.fr","0590809914","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"30215","Centre de Recrutement de Concours et de Sélection de Martinique","Centre de Recrutement de Concours et de Sélection de Martinique","92002","Caserne Redoute, BP 616","crcs.brh.comgendgp@gendarmerie.interieur.gouv.fr","0590809914","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"30227","Centre de Recrutement de Concours et de Sélection de Nouvelle-Calédonie et Wallis-et-Futuna","Centre de Recrutement de Concours et de Sélection de Nouvelle-Calédonie et Wallis-et-Futuna","92002","Caserne Meunier, 16 rue Frederic Surleau, BP R3","crcs.brh.comgendncwf@gendarmerie.interieur.gouv.fr","0687295114","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"29427","Centre de Recrutement de Concours et de Sélection de Polynésie Française","Centre de Recrutement de Concours et de Sélection de Polynésie Française","92002","Ile De Tahiti Caserne Bruat, avenue Pouvanaa, BP 9406","crcs.brh.comgendpf@gendarmerie.interieur.gouv.fr","00689467436","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"30282","Centre de Recrutement de Concours et de Sélection de La Réunion","Centre de Recrutement de Concours et de Sélection de La Réunion","92002","Caserne Verines, 61 rue Victor Mac Auliffe","crcs.brh.comgendre@gendarmerie.interieur.gouv.fr","0262937555","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
"15707","Centre de Recrutement de Concours et de Sélection de Mayotte","Centre de Recrutement de Concours et de Sélection de Mayotte","92002","20 route Nationale 4","crcs.srh.comgendyt@gendarmerie.interieur.gouv.fr","0269609137","2023-01-27T00:00:00Z","3999-12-31T00:00:00Z"
